charactername,actor,salary
Chani,Zendaya,2000000
"Duncan Idaho","Jason Momoa",0
"Feyd Rautha","Austin Butler",250000
"Glossu Rabban","Dave Bautista",1000000
"Gurney Halleck","Josh Brolin",500000
Jamis,"Babs Olusanmokun",0
"Lady Jessica","Rebecca Fergurson",600000
"Leto I Atreides","Oscar Isaac",0
"Liet Kynes","Sharon DuncanBrewster",0
"Paul Atriedes","Timothee Chalamet",3000000
"Piter De Vries","David Dastmalchian",0
"Princess Irulan","Florence Pugh",300000
Ramallo,"Giusi Merli",0
"Shaddam IV","Christopher Walken",0
"Shadout Mapes","Golda Rosheuvel",0
Stilgar,"Javier Bardem",0
"Thufir Hawat","Stephen McKinley Henderson",0
"Wellington Yueh","Chang Chen",0
